country,iso3,yield_tonnes_per_ha
Malaysia,MYS,19.77
Thailand,THA,18.333
Guatemala,GTM,18.152
Benin,BEN,17.948
Indonesia,IDN,16.969
Ecuador,ECU,16.87
Costa Rica,CRI,16.4
Colombia,COL,15.295
Peru,PER,14.691
Brazil,BRA,14.525
Mexico,MEX,14.26
Tanzania,TZA,14.045
Dominican Republic,DOM,13.797
China,CHN,13.167
Cameroon,CMR,13.159
Sao Tome and Principe,STP,12.863
Congo,COG,12.469
Papua New Guinea,PNG,12.461
Angola,AGO,12.108
Madagascar,MDG,11.587
Venezuela,VEN,11.283
Senegal,SEN,10.915
Cambodia,KHM,10.49
Equatorial Guinea,GNQ,10.232
Honduras,HND,10.224
Panama,PAN,10.122
Burundi,BDI,9.999
Gambia,GMB,9.984
Liberia,LBR,9.791
Central African Republic,CAF,9.482
Paraguay,PRY,9.435
Gabon,GAB,8.919
Togo,TGO,8.52
Guinea-Bissau,GNB,8.439
Sierra Leone,SLE,7.79
Solomon Islands,SLB,7.762
Philippines,PHL,7.638
Ghana,GHA,7.364
Democratic Republic of Congo,COD,6.58
Cote d'Ivoire,CIV,6.396
Guinea,GIN,2.677
Nigeria,NGA,2.566
Suriname,SUR,1.999
